eps,unf_train_0masks,unf_train_10masks,unf_train_30masks,unf_test_0masks,unf_test_10masks,unf_test_30masks
0.89,0.0911855593331909,0.07738226345064776,0.06333990205879496,0.09717823867559616,0.09105424049784194,0.08404982098839335
0.895,0.08556353945048494,0.06356103223464404,0.05320219437226168,0.08679394460709157,0.08184132974073761,0.05284550591043802
0.9,0.08556353945048494,0.06356103223464404,0.05320219437226168,0.08679394460709157,0.08184132974073761,0.05284550591043802
0.902,0.08556353945048494,0.06356103223464404,0.05320219437226168,0.08679394460709157,0.08184132974073761,0.05284550591043802
0.904,0.08556353945048494,0.06356103223464404,0.05320219437226168,0.08679394460709157,0.08184132974073761,0.05284550591043802
0.906,0.08482241812422142,0.058392071953042586,0.05320219437226168,0.09801255498682723,0.06440794347287558,0.05284550591043802
0.908,0.07690459052986003,0.05593957851239284,0.04767432308273343,0.0956588832862771,0.06982662994746193,0.0551182576109299
0.91,0.07621136595898434,0.05593957851239284,0.04562093419984603,0.09190726424853277,0.06982662994746193,0.04886897116477156
0.912,0.07621136595898434,0.05097083110746101,0.04480117078138948,0.09190726424853277,0.056055701137368616,0.03971163639347082
0.914,0.06844079540440813,0.05142848242498395,0.04106640919500541,0.09132063252211596,0.06265370462006112,0.04043367936162201
0.916,0.06382448064011984,0.043939561496349366,0.04106640919500541,0.07522736214943708,0.055840300579081084,0.04043367936162201
0.918,0.06382448064011984,0.043939561496349366,0.04106640919500541,0.07522736214943708,0.055840300579081084,0.04043367936162201
0.92,0.06382448064011984,0.04311979807789281,0.04106640919500541,0.07522736214943708,0.04668296580778035,0.04043367936162201
0.922,0.06356103223464404,0.04106640919500541,0.042114828589588385,0.08184132974073761,0.04043367936162201,0.0415727315932541
0.924,0.058392071953042586,0.040681996585753236,0.039845106979903434,0.06440794347287558,0.039067323663670016,0.040639976879545715
0.926,0.05611051077890801,0.040681996585753236,0.039845106979903434,0.06407094713587924,0.039067323663670016,0.040639976879545715
0.928,0.05611051077890801,0.041725146302631216,0.03741174618755898,0.06407094713587924,0.04298220275746874,0.04661961925855014
0.93,0.05611051077890801,0.03891796650892794,0.03530188257310938,0.06407094713587924,0.040944293140848464,0.047934472633528465
0.932,0.05611051077890801,0.03891796650892794,0.03587870844090331,0.06407094713587924,0.040944293140848464,0.05383466626996651
0.934,0.05611051077890801,0.036964365768901566,0.033446098221735464,0.06407094713587924,0.040513671131279086,0.05120257551500425
0.936,0.05320219437226168,0.036467675291634666,0.031679984023584185,0.05284550591043802,0.03805479667240461,0.04479784366067297
0.938,0.05320219437226168,0.034612483858156434,0.030750453760261882,0.05284550591043802,0.042163883218052464,0.043994576070716176
0.94,0.049905686347534096,0.034092808023375755,0.030608569597346945,0.051908062383999296,0.042163883218052464,0.043994576070716176
0.942,0.049905686347534096,0.031320471875041465,0.030407920167720738,0.051908062383999296,0.04618003529432948,0.043308776792680664
0.944,0.049905686347534096,0.030422705077330137,0.02365803310836534,0.051908062383999296,0.05032753795303189,0.044491184360588736
0.946,0.049905686347534096,0.02855611098055235,0.022556884624775543,0.051908062383999296,0.04939864093118005,0.04165470562460823
0.948,0.049085922929077534,0.02962634972267382,0.0232060248652441,0.04275072761269856,0.050805312090209685,0.04150427094746132
0.95,0.04480117078138948,0.02584009829721541,0.019802522774268704,0.03971163639347082,0.04651646108466223,0.041560560915312586
0.952,0.040426199004734896,0.029805399701007262,0.018345978850195864,0.042960566736994235,0.049695556793063256,0.04347381867757996
0.954,0.03989532303580845,0.02628010206782492,0.018882912249204242,0.047039879588236924,0.054506761134320215,0.04568314307346606
0.956,0.03951091042655628,0.026936456532937303,0.017563890040873976,0.045673523890284916,0.05128412715334694,0.033892957366584264
0.958,0.038146218353148464,0.01922860492924654,0.015127215507880432,0.04194410405502432,0.041559202300463186,0.03951878284962078
0.96,0.03492085810190113,0.021988399150536873,0.014203240567149675,0.04301547511763122,0.044383627328359966,0.04400502591293483
0.962,0.03446824430535633,0.018716023243178517,0.0122416618397875,0.0423895613973798,0.04648848245411421,0.047951375712503234
0.964,0.0317625005739691,0.01334026404679873,0.00766264529850711,0.04165744965414146,0.04573203641743688,0.037426735637265986
0.966,0.028236619835281095,0.009978976377595416,0.0079974725655102,0.044540199340209294,0.045023729641636125,0.034247441380750004
0.968,0.028236619835281095,0.009978976377595416,0.010565470922640086,0.044540199340209294,0.045023729641636125,0.035369040212837384
